movie_title,title_year,director_name,genres,duration,budget,gross,language,country,content_rating,color,movie_imdb_link,num_user_for_reviews,imdb_score
Slums of Beverly Hills ,1998,Tamara Jenkins,Comedy|Drama,91,5000000,5480318,English,USA,R,Color,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,6.6
Zero Effect ,1998,Jake Kasdan,Comedy|Crime|Drama|Mystery|Thriller,116,5000000,1980338,English,USA,R,Color,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,7
Desert Blue ,1998,Morgan J. Freeman,Drama,90,2000000,99147,English,USA,R,Color,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,6.2
Tango ,1998,Carlos Saura,Drama|Musical,115,700000000,1687311,Spanish,Spain,PG-13,Color,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,40,7.2
Among Giants ,1998,Sam Miller,Comedy|Romance,93,2500000,64359,English,UK,R,Color,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,26,5.9
I Got the Hook Up ,1998,Michael Martin,Comedy,93,3500000,10305534,English,USA,R,Color,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,38,3.9
Gods and Monsters ,1998,Bill Condon,Biography|Drama,105,3500000,6390032,English,USA,R, Black and White,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,229,7.5
La otra conquista ,1998,Salvador Carrasco,Drama|History,106,3500000,886410,Spanish,Mexico,R,Color,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,494,6.8
Waking Ned Devine ,1998,Kirk Jones,Comedy,91,3000000,24788807,English,UK,PG,Color,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,213,7.4
Central Station ,1998,Walter Salles,Drama,113,2900000,5595428,Portuguese,Brazil,R,Color,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,257,8
Smoke Signals ,1998,Chris Eyre,Comedy|Drama,89,2000000,6719300,English,Canada,PG-13,Color,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,132,7.2
Six-String Samurai ,1998,Lance Mungia,Action|Adventure|Comedy|Drama|Music|Sci-Fi,91,2000000,124494,English,USA,PG-13,Color,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,6.7
Run Lola Run ,1998,Tom Tykwer,Crime|Drama,81,3500000,7267324,German,Germany,R, Black and White,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,7.8
Buffalo '66 ,1998,Vincent Gallo,Comedy|Crime|Drama|Romance,110,1500000,2365931,English,USA,R,Color,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,7.5
"Lock, Stock and Two Smoking Barrels ",1998,Guy Ritchie,Comedy|Crime,120,960000,3650677,English,UK,R,Color,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,8.2
The Celebration ,1998,Thomas Vinterberg,Drama,105,1300000,1647780,Danish,Denmark,R,Color,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,258,8.1
Next Stop Wonderland ,1998,Brad Anderson,Comedy|Drama|Romance,104,1000000,3386698,English,USA,R,Color,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,86,6.7
Slam ,1998,Marc Levin,Drama,100,1000000,982214,English,USA,R,Color,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,51,7.2
Safe Men ,1998,John Hamburg,Comedy|Crime,88,1000000,21210,English,USA,R,Color,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52,6.1
Naturally Native ,1998,Jennifer Wynne Farmer,Drama,107,700000,10508,English,USA,PG-13,Color,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,6,6.5
Broken Vessels ,1998,Scott Ziehl,Drama,90,600000,13493,English,USA,R,Color,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,19,6.6
Pi ,1998,Darren Aronofsky,Drama|Mystery|Thriller,84,60000,3216970,English,USA,R, Black and White,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,7.5
20 Dates ,1998,Myles Berkowitz,Biography|Comedy|Romance,87,60000,536767,English,USA,R,Color,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,5.3
Wild Wild West ,1999,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,106,170000000,113745408,English,USA,PG-13,Color,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,4.8
The World Is Not Enough ,1999,Michael Apted,Action|Adventure|Thriller,128,135000000,126930660,English,UK,PG-13,Color,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,683,6.4
The 13th Warrior ,1999,John McTiernan,Action|Adventure|History,102,85000000,32694788,English,USA,R,Color,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,546,6.6
Star Wars: Episode I - The Phantom Menace ,1999,George Lucas,Action|Adventure|Fantasy|Sci-Fi,136,115000000,474544677,English,USA,PG,Color,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1,3597,6.5
Stuart Little ,1999,Rob Minkoff,Adventure|Comedy|Family|Fantasy,84,133000000,140015224,English,Germany,PG,Color,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,179,5.9
End of Days ,1999,Peter Hyams,Action|Fantasy|Horror|Mystery,121,83000000,66862068,English,USA,R,Color,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,524,5.7
Toy Story 2 ,1999,John Lasseter,Adventure|Animation|Comedy|Family|Fantasy,82,90000000,245823397,English,USA,G,Color,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,515,7.9
Bicentennial Man ,1999,Chris Columbus,Comedy|Drama|Sci-Fi,132,100000000,58220776,English,USA,PG,Color,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,362,6.8
The Haunting ,1999,Jan de Bont,Fantasy|Horror|Mystery|Thriller,113,80000000,91188905,English,USA,PG-13,Color,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,805,4.9
Fantasia 2000 ,1999,James Algar,Animation|Family|Fantasy|Music,74,80000000,60507228,English,USA,G,Color,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,186,7.3
Inspector Gadget ,1999,David Kellogg,Action|Adventure|Comedy|Family|Sci-Fi,110,75000000,97360069,English,USA,PG,Color,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,231,4.1
Anna and the King ,1999,Andy Tennant,Drama|History|Romance,148,75000000,39251128,English,USA,PG-13,Color,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,217,6.7
Runaway Bride ,1999,Garry Marshall,Comedy|Romance,116,70000000,152149590,English,USA,PG,Color,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,255,5.5
Mystery Men ,1999,Kinka Usher,Action|Comedy|Fantasy|Sci-Fi,121,65000000,29655590,English,USA,PG-13,Color,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,6
The Insider ,1999,Michael Mann,Biography|Drama|Thriller,157,68000000,28965197,English,USA,R,Color,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,7.9
Entrapment ,1999,Jon Amiel,Action|Crime|Romance|Thriller,113,66000000,87704396,English,USA,PG-13,Color,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,6.2
The Matrix ,1999,Lana Wachowski,Action|Sci-Fi,136,63000000,171383253,English,USA,R,Color,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,8.7
Eyes Wide Shut ,1999,Stanley Kubrick,Drama|Mystery|Thriller,159,65000000,55637680,English,UK,R,Color,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,7.3
Fight Club ,1999,David Fincher,Drama,151,63000000,37023395,English,USA,R,Color,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,8.8
Random Hearts ,1999,Sydney Pollack,Drama|Mystery|Romance,133,64000000,31054924,English,USA,R,Color,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,5.1
The Green Mile ,1999,Frank Darabont,Crime|Drama|Fantasy|Mystery,189,60000000,136801374,English,USA,R,Color,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,8.5
The General's Daughter ,1999,Simon West,Drama|Mystery|Thriller,116,95000000,102678089,English,USA,R,Color,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,6.3
Any Given Sunday ,1999,Oliver Stone,Drama|Sport,156,55000000,75530832,English,USA,R,Color,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,452,6.8
Deep Blue Sea ,1999,Renny Harlin,Action|Sci-Fi|Thriller,105,60000000,73648142,English,USA,R,Color,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,643,5.8
My Favorite Martian ,1999,Donald Petrie,Comedy|Family|Sci-Fi,94,65000000,36830057,English,USA,PG,Color,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,73,4.9
Edtv ,1999,Ron Howard,Comedy|Drama,122,55000000,22362500,English,USA,PG-13,Color,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,6.1
Bowfinger ,1999,Frank Oz,Comedy,85,55000000,66365290,English,USA,PG-13,Color,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358,6.4
Instinct ,1999,Jon Turteltaub,Drama|Thriller,126,55000000,34098563,English,USA,R,Color,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,232,6.5
Man on the Moon ,1999,Milos Forman,Biography|Comedy|Drama,118,52000000,34580635,English,UK,R,Color,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,549,7.4
Payback ,1999,Brian Helgeland,Action|Crime|Drama|Thriller,90,50000000,81517441,English,USA,R,Color,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,394,7.1
For Love of the Game ,1999,Sam Raimi,Drama|Romance|Sport,137,50000000,35168395,English,USA,PG-13,Color,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,226,6.5
The Story of Us ,1999,Rob Reiner,Comedy|Drama|Romance,95,50000000,27067160,English,USA,R,Color,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,150,5.9
The Iron Giant ,1999,Brad Bird,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,90,70000000,23159305,English,USA,PG,Color,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,514,8
The Messenger: The Story of Joan of Arc ,1999,Luc Besson,Adventure|Biography|Drama|History|War,158,390000000,14131298,English,France,R,Color,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,390,6.4
The Bone Collector ,1999,Phillip Noyce,Crime|Drama|Mystery|Thriller,118,48000000,66488090,English,USA,R,Color,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,397,6.7
Three Kings ,1999,David O. Russell,Action|Adventure|Comedy|Drama|War,114,48000000,60652036,English,USA,R,Color,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,560,7.1
The Thomas Crown Affair ,1999,John McTiernan,Crime|Romance|Thriller,113,48000000,69304264,English,USA,R,Color,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,419,6.8
Galaxy Quest ,1999,Dean Parisot,Adventure|Comedy|Sci-Fi,102,45000000,71423726,English,USA,PG,Color,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,609,7.3
Notting Hill ,1999,Roger Michell,Comedy|Drama|Romance,124,42000000,116006080,English,UK,PG-13,Color,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,602,7
The Sixth Sense ,1999,M. Night Shyamalan,Drama|Mystery|Thriller,107,40000000,293501675,English,USA,PG-13,Color,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,2073,8.1
Double Jeopardy ,1999,Bruce Beresford,Crime|Mystery|Thriller,105,70000000,116735231,English,USA,R,Color,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,336,6.4
The Talented Mr. Ripley ,1999,Anthony Minghella,Crime|Drama|Thriller,139,40000000,81292135,English,USA,R,Color,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,696,7.3
8MM ,1999,Joel Schumacher,Mystery|Thriller,123,40000000,36283504,English,Germany,R,Color,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,587,6.5
Mickey Blue Eyes ,1999,Kelly Makin,Comedy|Crime|Romance,102,40000000,33864342,English,UK,PG-13,Color,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,117,5.8
The Out-of-Towners ,1999,Sam Weisman,Comedy,90,40000000,28535768,English,USA,PG-13,Color,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,105,5.3
At First Sight ,1999,Irwin Winkler,Drama|Romance,128,60000000,22326247,English,USA,PG-13, Black and White,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,106,5.9
The Deep End of the Ocean ,1999,Ulu Grosbard,Drama,106,40000000,13376506,English,USA,PG-13,Color,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,111,6.3
Universal Soldier: The Return ,1999,Mic Rodgers,Action|Sci-Fi,83,24000000,10431220,English,USA,R,Color,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,162,4.1
The Hurricane ,1999,Norman Jewison,Biography|Drama|Sport,146,38000000,50668906,English,USA,R, Black and White,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,265,7.6
The Ninth Gate ,1999,Roman Polanski,Mystery|Thriller,133,38000000,18653746,English,Spain,R,Color,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,638,6.7
Magnolia ,1999,Paul Thomas Anderson,Drama,188,37000000,22450975,English,USA,R,Color,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,1437,8
Blue Streak ,1999,Les Mayfield,Action|Comedy|Crime|Thriller,93,65000000,68208190,English,USA,PG-13,Color,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,144,6.3
Snow Falling on Cedars ,1999,Scott Hicks,Drama|Mystery|Romance|Thriller,127,36000000,14378353,English,USA,PG-13,Color,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,194,6.8
Austin Powers: The Spy Who Shagged Me ,1999,Jay Roach,Action|Adventure|Comedy|Crime,95,33000000,205399422,English,USA,PG-13,Color,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,784,6.6
Blast from the Past ,1999,Hugh Wilson,Comedy|Drama|Romance|Sci-Fi,112,35000000,26494611,English,USA,PG-13,Color,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,239,6.6
Ride with the Devil ,1999,Ang Lee,Drama|Romance|War|Western,148,35000000,630779,English,USA,R,Color,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,159,6.8
Chill Factor ,1999,Hugh Johnson,Action|Adventure|Comedy|Drama|Thriller,102,34000000,11227940,English,USA,R,Color,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,94,5.2
The Astronaut's Wife ,1999,Rand Ravich,Drama|Sci-Fi|Thriller,109,34000000,10654581,English,USA,R,Color,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,5.3
Pushing Tin ,1999,Mike Newell,Comedy|Drama|Romance,124,38000000,8406264,English,USA,R,Color,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,6
Stigmata ,1999,Rupert Wainwright,Horror,103,29000000,50041732,English,USA,R,Color,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,398,6.2
Bringing Out the Dead ,1999,Martin Scorsese,Drama|Thriller,121,55000000,16640210,English,USA,R,Color,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,382,6.8
Cradle Will Rock ,1999,Tim Robbins,Drama,132,32000000,2899970,English,USA,R,Color,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,161,6.9
Big Daddy ,1999,Dennis Dugan,Comedy|Drama,93,34200000,163479795,English,USA,PG-13,Color,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,289,6.4
Analyze This ,1999,Harold Ramis,Comedy|Crime,103,30000000,106694016,English,USA,R,Color,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,337,6.7
Message in a Bottle ,1999,Luis Mandoki,Drama|Romance,131,55000000,52799004,English,USA,PG-13,Color,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,223,6.1
Wing Commander ,1999,Chris Roberts,Action|Adventure|Sci-Fi,100,30000000,11576087,English,USA,PG-13,Color,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,4.1
In Dreams ,1999,Neil Jordan,Drama|Fantasy|Thriller,100,30000000,11900000,English,USA,R,Color,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,5.5
Mumford ,1999,Lawrence Kasdan,Comedy|Drama,112,28000000,4554569,English,USA,R, Black and White,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,6.9
"Mystery, Alaska ",1999,Jay Roach,Comedy|Drama|Sport,119,28000000,8888143,English,Canada,R,Color,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,6.7
Lake Placid ,1999,Steve Miner,Action|Comedy|Horror,82,27000000,31768374,English,USA,R,Color,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,366,5.6
Flawless ,1999,Joel Schumacher,Comedy|Crime|Drama,112,15000000,4485485,English,USA,R,Color,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,105,6.4
Angela's Ashes ,1999,Alan Parker,Drama,145,25000000,13038660,English,USA,R,Color,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,163,7.3
Brokedown Palace ,1999,Jonathan Kaplan,Drama|Mystery|Thriller,100,25000000,10114315,English,USA,PG-13,Color,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187,6.4
"Girl, Interrupted ",1999,James Mangold,Biography|Drama,127,24000000,28871190,English,USA,R,Color,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,385,7.3
Muppets from Space ,1999,Tim Hill,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,87,24000000,16290976,English,USA,G,Color,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1,100,6.2
Play It to the Bone ,1999,Ron Shelton,Comedy|Drama|Sport,124,24000000,8427204,English,USA,R,Color,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,59,5.4
Anywhere But Here ,1999,Wayne Wang,Comedy|Drama,114,23000000,18653615,English,USA,PG-13,Color,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,103,6.1
The End of the Affair ,1999,Neil Jordan,Drama|Romance,102,23000000,10660147,English,UK,R,Color,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,7.2
Summer of Sam ,1999,Spike Lee,Crime|Drama|Romance|Thriller,142,22000000,19283782,English,USA,R,Color,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,354,6.6
Dudley Do-Right ,1999,Hugh Wilson,Comedy|Family|Romance,77,22000000,9694105,English,USA,PG,Color,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,3.8
Arlington Road ,1999,Mark Pellington,Crime|Drama|Thriller,117,21500000,24362501,English,USA,R,Color,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,591,7.2
South Park: Bigger Longer & Uncut ,1999,Trey Parker,Animation|Comedy|Fantasy|Musical,81,21000000,52008288,English,USA,R,Color,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,928,7.8
The Rage: Carrie 2 ,1999,Katt Shea,Horror|Sci-Fi|Thriller,104,21000000,17757087,English,USA,R, Black and White,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,253,4.6
Molly ,1999,John Duigan,Comedy|Drama|Romance,102,21000000,15593,English,USA,PG-13,Color,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,5.8
eXistenZ ,1999,David Cronenberg,Horror|Sci-Fi|Thriller,115,31000000,2840417,English,Canada,R,Color,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,527,6.8
Three to Tango ,1999,Damon Santostefano,Comedy|Romance,98,20000000,10544143,English,Australia,PG-13,Color,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,6.1
Topsy-Turvy ,1999,Mike Leigh,Biography|Comedy|Drama|History|Music|Musical,154,10000000,6201757,English,UK,R,Color,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,202,7.4
House on Haunted Hill ,1999,William Malone,Horror|Mystery|Thriller,93,19000000,40846082,English,USA,R,Color,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,536,5.6
Deuce Bigalow: Male Gigolo ,1999,Mike Mitchell,Comedy|Romance,88,17000000,65535067,English,USA,R,Color,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,202,5.7
One Man's Hero ,1999,Lance Hool,Action|Drama|History|Romance|War|Western,121,11350000,229311,English,Spain,R,Color,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,42,6.2
The Adventures of Elmo in Grouchland ,1999,Gary Halvorson,Adventure|Comedy|Family|Fantasy|Musical,73,17000000,11634458,English,USA,G,Color,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,37,5.8
Varsity Blues ,1999,Brian Robbins,Comedy|Drama|Romance|Sport,106,16000000,52885587,English,USA,R,Color,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,267,6.4
The Thirteenth Floor ,1999,Josef Rusnak,Mystery|Sci-Fi|Thriller,100,16000000,15500000,English,Germany,R,Color,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,302,7
Detroit Rock City ,1999,Adam Rifkin,Comedy|Music,95,15000000,4193025,English,USA,R,Color,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,194,6.8
American Beauty ,1999,Sam Mendes,Drama,122,15000000,130058047,English,USA,R,Color,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,2715,8.4
Eye of the Beholder ,1999,Stephan Elliott,Drama|Mystery|Thriller,109,15000000,16459004,English,Canada,R,Color,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,415,4.9
The Muse ,1999,Albert Brooks,Comedy,97,15000000,11614236,English,USA,PG-13,Color,http://www.imdb.com/title/tt0164108/?ref_=fn_tt_tt_1,140,5.6
Jakob the Liar ,1999,Peter Kassovitz,Drama|War,120,15000000,4956401,English,France,PG-13,Color,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,89,6.5
Idle Hands ,1999,Rodman Flender,Comedy|Fantasy|Horror|Thriller,92,20000000,4002955,English,USA,R,Color,http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,198,6.2
Crazy in Alabama ,1999,Antonio Banderas,Comedy|Crime|Drama,111,15000000,1954202,English,USA,PG-13,Color,http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,71,6.3
Superstar ,1999,Bruce McCulloch,Comedy|Romance,81,14000000,30628981,English,USA,PG-13,Color,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,160,5
Tea with Mussolini ,1999,Franco Zeffirelli,Comedy|Drama|War,117,12000000,14348123,English,Italy,PG,Color,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,157,6.9
A Walk on the Moon ,1999,Tony Goldwyn,Drama,107,14000000,4741987,English,USA,R,Color,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,114,6.6
10 Things I Hate About You ,1999,Gil Junger,Comedy|Drama|Romance,97,16000000,38176108,English,USA,PG-13,Color,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549,7.2
Baby Geniuses ,1999,Bob Clark,Comedy|Crime|Family|Sci-Fi,97,18000000,27141959,English,USA,PG,Color,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,168,2.5
Being John Malkovich ,1999,Spike Jonze,Comedy|Drama|Fantasy,112,13000000,22858926,English,USA,R,Color,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,840,7.8
Dick ,1999,Andrew Fleming,Comedy,94,13000000,6241697,English,France,PG-13,Color,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,210,6.1
Light It Up ,1999,Craig Bolotin,Drama|Thriller,99,13000000,5871603,English,USA,R,Color,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,39,6
American Pie ,1999,Paul Weitz,Comedy,95,11000000,101736215,English,USA,R,Color,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,789,7
Stir of Echoes ,1999,David Koepp,Horror|Mystery|Thriller,99,12000000,21133087,English,USA,R,Color,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,374,7
Ravenous ,1999,Antonia Bird,Fantasy|Horror|Thriller,101,12000000,2060953,English,Czech Republic,R,Color,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,316,7.1
Breakfast of Champions ,1999,Alan Rudolph,Comedy,110,12000000,175370,English,USA,R,Color,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,133,4.6
Cruel Intentions ,1999,Roger Kumble,Drama|Romance,97,10500000,38201895,English,USA,R,Color,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,749,6.9
An Ideal Husband ,1999,Oliver Parker,Comedy|Romance,97,14000000,18535191,English,UK,PG-13,Color,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,132,6.9
She's All That ,1999,Robert Iscove,Comedy|Romance,95,10000000,63319509,English,USA,PG-13,Color,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,389,5.8
Dogma ,1999,Kevin Smith,Adventure|Comedy|Drama|Fantasy,130,10000000,30651422,English,USA,R,Color,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,1015,7.4
The Corruptor ,1999,James Foley,Action|Crime|Drama|Mystery|Thriller,110,30000000,15156200,English,USA,R,Color,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,131,6
Office Space ,1999,Mike Judge,Comedy,89,10000000,10824921,English,USA,R,Color,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,621,7.8
Drop Dead Gorgeous ,1999,Michael Patrick Jann,Comedy|Romance|Thriller,97,10000000,10561238,English,Germany,PG-13,Color,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,321,6.5
The Straight Story ,1999,David Lynch,Biography|Drama,112,10000000,6197866,English,France,G,Color,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,414,8
The Limey ,1999,Steven Soderbergh,Crime|Drama|Mystery|Thriller,89,9000000,3193102,English,USA,R,Color,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,240,7.1
The Best Man ,1999,Malcolm D. Lee,Comedy|Drama,120,9000000,34074895,English,USA,R,Color,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,79,6.7
Election ,1999,Alexander Payne,Comedy|Drama,103,8000000,14879556,English,USA,R,Color,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,7.3
Limbo ,1999,John Sayles,Adventure|Drama|Thriller,126,8000000,1997807,English,USA,R,Color,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,140,7.1
Drive Me Crazy ,1999,John Schultz,Comedy|Drama|Romance,91,8000000,17843379,English,USA,PG-13,Color,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,5.7
